index,phase,x[n],hann,x_win
0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1,6.283185e-01,5.877852e-01,2.447174e-02,1.438413e-02
2,1.256637e+00,9.510565e-01,9.549151e-02,9.081782e-02
3,1.884956e+00,9.510565e-01,2.061074e-01,1.960198e-01
4,2.513274e+00,5.877852e-01,3.454915e-01,2.030748e-01
5,3.141593e+00,-8.742278e-08,5.000000e-01,-4.371139e-08
6,3.769911e+00,-5.877854e-01,6.545085e-01,-3.847105e-01
7,4.398230e+00,-9.510565e-01,7.938926e-01,-7.550367e-01
8,5.026548e+00,-9.510565e-01,9.045085e-01,-8.602387e-01
9,5.654867e+00,-5.877849e-01,9.755282e-01,-5.734008e-01
10,6.283185e+00,1.748456e-07,1.000000e+00,1.748456e-07
11,6.911504e+00,5.877852e-01,9.755282e-01,5.734011e-01
12,7.539823e+00,9.510566e-01,9.045085e-01,8.602387e-01
13,8.168141e+00,9.510564e-01,7.938926e-01,7.550367e-01
14,8.796459e+00,5.877854e-01,6.545085e-01,3.847106e-01
15,9.424778e+00,-2.384976e-08,5.000000e-01,-1.192488e-08
16,1.005310e+01,-5.877855e-01,3.454915e-01,-2.030749e-01
17,1.068142e+01,-9.510567e-01,2.061074e-01,-1.960198e-01
18,1.130973e+01,-9.510562e-01,9.549151e-02,-9.081779e-02
19,1.193805e+01,-5.877852e-01,2.447174e-02,-1.438413e-02
20,1.256637e+01,3.496911e-07,0.000000e+00,0.000000e+00
