omega,freq,magnitude,phase
0.000000e+00,0,3.067079e-07,0.000000e+00
1.745329e-02,277.7777695026232,9.275053e-02,-1.745326e+00
3.490658e-02,555.5555390052464,1.867239e-01,-1.919861e+00
5.235988e-02,833.3333085078698,2.831170e-01,-2.094394e+00
6.981317e-02,1111.1110780104927,3.830750e-01,-2.268927e+00
8.726646e-02,1388.888847513116,4.876665e-01,-2.443460e+00
1.047198e-01,1666.6666170157396,5.978608e-01,-2.617993e+00
1.221730e-01,1944.4443865183623,7.145057e-01,-2.792526e+00
1.396263e-01,2222.2221560209855,8.383082e-01,-2.967059e+00
1.570796e-01,2499.999925523609,9.698178e-01,-3.141592e+00
1.745329e-01,2777.777695026232,1.109412e+00,2.967060e+00
1.919862e-01,3055.5554645288553,1.257285e+00,2.792527e+00
2.094395e-01,3333.333234031479,1.413441e+00,2.617994e+00
2.268928e-01,3611.1110035341017,1.577687e+00,2.443461e+00
2.443461e-01,3888.8887730367246,1.749634e+00,2.268928e+00
2.617994e-01,4166.6665425393485,1.928700e+00,2.094395e+00
2.792527e-01,4444.444312041971,2.114112e+00,1.919862e+00
2.967060e-01,4722.222081544594,2.304918e+00,1.745330e+00
3.141593e-01,4999.999851047218,2.500000e+00,1.570797e+00
3.316125e-01,5277.77762054984,2.698085e+00,1.396264e+00
3.490658e-01,5555.555390052464,2.897767e+00,1.221731e+00
3.665191e-01,5833.333159555087,3.097526e+00,1.047198e+00
3.839724e-01,6111.110929057711,3.295749e+00,8.726649e-01
4.014257e-01,6388.888698560333,3.490754e+00,6.981320e-01
4.188790e-01,6666.666468062958,3.680817e+00,5.235991e-01
4.363323e-01,6944.44423756558,3.864194e+00,3.490661e-01
4.537856e-01,7222.222007068203,4.039153e+00,1.745332e-01
4.712389e-01,7499.999776570827,4.203994e+00,2.906717e-07
4.886922e-01,7777.777546073449,4.357079e+00,-1.745326e-01
5.061455e-01,8055.555315576073,4.496856e+00,-3.490656e-01
5.235988e-01,8333.333085078697,4.621879e+00,-5.235985e-01
5.410521e-01,8611.110854581319,4.730834e+00,-6.981314e-01
5.585053e-01,8888.888624083942,4.822558e+00,-8.726643e-01
5.759586e-01,9166.666393586565,4.896053e+00,-1.047197e+00
5.934119e-01,9444.444163089189,4.950505e+00,-1.221730e+00
6.108652e-01,9722.221932591812,4.985293e+00,-1.396263e+00
6.283185e-01,9999.999702094436,5.000000e+00,-1.570796e+00
6.457718e-01,10277.777471597059,4.994415e+00,-1.745329e+00
6.632251e-01,10555.55524109968,4.968541e+00,-1.919862e+00
6.806784e-01,10833.333010602306,4.922590e+00,-2.094395e+00
6.981317e-01,11111.110780104927,4.856982e+00,-2.268928e+00
7.155850e-01,11388.888549607553,4.772336e+00,-2.443461e+00
7.330383e-01,11666.666319110174,4.669465e+00,-2.617994e+00
7.504916e-01,11944.444088612798,4.549357e+00,-2.792526e+00
7.679448e-01,12222.221858115421,4.413166e+00,-2.967059e+00
7.853981e-01,12499.999627618045,4.262193e+00,-3.141592e+00
8.028514e-01,12777.777397120666,4.097870e+00,2.967060e+00
8.203047e-01,13055.555166623291,3.921733e+00,2.792527e+00
8.377580e-01,13333.332936125917,3.735410e+00,2.617994e+00
8.552113e-01,13611.110705628536,3.540591e+00,2.443461e+00
8.726646e-01,13888.88847513116,3.339012e+00,2.268928e+00
8.901179e-01,14166.666244633781,3.132425e+00,2.094395e+00
9.075712e-01,14444.444014136407,2.922583e+00,1.919863e+00
9.250245e-01,14722.22178363903,2.711214e+00,1.745330e+00
9.424778e-01,14999.999553141653,2.500000e+00,1.570797e+00
9.599311e-01,15277.777322644277,2.290560e+00,1.396264e+00
9.773844e-01,15555.555092146898,2.084430e+00,1.221731e+00
9.948376e-01,15833.332861649524,1.883047e+00,1.047198e+00
1.012291e+00,16111.110631152145,1.687735e+00,8.726651e-01
1.029744e+00,16388.88840065477,1.499692e+00,6.981321e-01
1.047198e+00,16666.666170157394,1.319981e+00,5.235992e-01
1.064651e+00,16944.443939660017,1.149522e+00,3.490663e-01
1.082104e+00,17222.221709162637,9.890854e-01,1.745334e-01
1.099557e+00,17499.999478665264,8.392909e-01,5.246543e-07
1.117011e+00,17777.777248167884,7.006058e-01,-1.745324e-01
1.134464e+00,18055.555017670507,5.733468e-01,-3.490652e-01
1.151917e+00,18333.33278717313,4.576837e-01,-5.235981e-01
1.169371e+00,18611.110556675754,3.536450e-01,-6.981309e-01
1.186824e+00,18888.888326178378,2.611254e-01,-8.726637e-01
1.204277e+00,19166.666095681,1.798951e-01,-1.047196e+00
1.221730e+00,19444.443865183624,1.096100e-01,-1.221729e+00
1.239184e+00,19722.221634686248,4.982357e-02,-1.396260e+00
1.256637e+00,19999.99940418887,5.559776e-07,1.243305e+00
1.274090e+00,20277.777173691495,4.047540e-02,1.396259e+00
1.291544e+00,20555.554943194118,7.227709e-02,1.221728e+00
1.308997e+00,20833.33271269674,9.613078e-02,1.047196e+00
1.326450e+00,21111.11048219936,1.127970e-01,8.726632e-01
1.343903e+00,21388.888251701985,1.230581e-01,6.981304e-01
1.361357e+00,21666.66602120461,1.277052e-01,5.235974e-01
1.378810e+00,21944.443790707235,1.275260e-01,3.490645e-01
1.396263e+00,22222.221560209855,1.232933e-01,1.745314e-01
1.413717e+00,22499.99932971248,1.157544e-01,-1.633268e-06
1.431170e+00,22777.777099215105,1.056218e-01,-1.745348e-01
1.448623e+00,23055.55486871773,9.356521e-02,-3.490680e-01
1.466077e+00,23333.33263822035,8.020458e-02,-5.236014e-01
1.483530e+00,23611.110407722972,6.610464e-02,-6.981349e-01
1.500983e+00,23888.888177225595,5.177074e-02,-8.726688e-01
1.518436e+00,24166.665946728215,3.764599e-02,-1.047203e+00
1.535890e+00,24444.443716230842,2.410970e-02,-1.221740e+00
1.553343e+00,24722.221485733466,1.147711e-02,-1.396283e+00
1.570796e+00,24999.99925523609,3.061858e-07,-2.357043e+00
1.588250e+00,25277.77702473871,1.013032e-02,1.396284e+00
1.605703e+00,25555.554794241332,1.878228e-02,1.221741e+00
1.623156e+00,25833.33256374396,2.587817e-02,1.047205e+00
1.640609e+00,26111.110333246583,3.139080e-02,8.726704e-01
1.658063e+00,26388.888102749203,3.533829e-02,6.981365e-01
1.675516e+00,26666.665872251833,3.777865e-02,5.236028e-01
1.692969e+00,26944.443641754453,3.880399e-02,3.490694e-01
1.710423e+00,27222.221411257073,3.853467e-02,1.745360e-01
1.727876e+00,27499.999180759696,3.711333e-02,2.653736e-06
1.745329e+00,27777.77695026232,3.469904e-02,-1.745307e-01
1.762782e+00,28055.554719764943,3.146165e-02,-3.490640e-01
1.780236e+00,28333.332489267563,2.757639e-02,-5.235975e-01
1.797689e+00,28611.110258770193,2.321891e-02,-6.981311e-01
1.815142e+00,28888.888028272813,1.856077e-02,-8.726650e-01
1.832596e+00,29166.665797775437,1.376538e-02,-1.047200e+00
1.850049e+00,29444.44356727806,8.984602e-03,-1.221736e+00
1.867502e+00,29722.22133678068,4.355844e-03,-1.396279e+00
1.884956e+00,29999.999106283307,1.905506e-07,2.038528e+00
1.902409e+00,30277.776875785927,3.981062e-03,1.396289e+00
1.919862e+00,30555.554645288554,7.503854e-03,1.221746e+00
1.937315e+00,30833.332414791174,1.050546e-02,1.047210e+00
1.954769e+00,31111.110184293797,1.294263e-02,8.726757e-01
1.972222e+00,31388.887953796424,1.479142e-02,6.981421e-01
1.989675e+00,31666.665723299047,1.604623e-02,5.236089e-01
2.007129e+00,31944.443492801667,1.671840e-02,3.490759e-01
2.024582e+00,32222.22126230429,1.683459e-02,1.745432e-01
2.042035e+00,32499.999031806918,1.643479e-02,1.068194e-05
2.059488e+00,32777.77680130954,1.557027e-02,-1.745216e-01
2.076942e+00,33055.55457081216,1.430127e-02,-3.490536e-01
2.094395e+00,33333.33234031479,1.269475e-02,-5.235851e-01
2.111848e+00,33611.110109817404,1.082206e-02,-6.981160e-01
2.129302e+00,33888.887879320035,8.756718e-03,-8.726458e-01
2.146755e+00,34166.66564882265,6.572290e-03,-1.047173e+00
2.164208e+00,34444.443418325274,4.340391e-03,-1.221695e+00
2.181661e+00,34722.2211878279,2.128918e-03,-1.396195e+00
2.199115e+00,34999.99895733053,5.054369e-07,-1.297490e+00
2.216568e+00,35277.776726833144,1.988885e-03,1.396199e+00
2.234021e+00,35555.55449633577,3.790828e-03,1.221699e+00
2.251475e+00,35833.33226583839,5.365406e-03,1.047177e+00
2.268928e+00,36111.110035341015,6.681625e-03,8.726494e-01
2.286381e+00,36388.887804843645,7.717681e-03,6.981196e-01
2.303835e+00,36666.66557434626,8.460951e-03,5.235887e-01
2.321288e+00,36944.443343848885,8.907748e-03,3.490572e-01
2.338741e+00,37222.22111335151,9.062859e-03,1.745252e-01
2.356194e+00,37499.99888285414,8.938892e-03,-7.104104e-06
2.373648e+00,37777.776652356755,8.555465e-03,-1.745397e-01
2.391101e+00,38055.55442185938,7.938260e-03,-3.490725e-01
2.408554e+00,38333.332191362,7.117977e-03,-5.236055e-01
2.426008e+00,38611.10996086462,6.129227e-03,-6.981389e-01
2.443461e+00,38888.88773036725,5.009379e-03,-8.726728e-01
2.460914e+00,39166.66549986987,3.797414e-03,-1.047208e+00
2.478367e+00,39444.443269372496,2.532794e-03,-1.221745e+00
2.495821e+00,39722.22103887511,1.254386e-03,-1.396291e+00
2.513274e+00,39999.99880837774,5.372599e-07,1.634443e+00
2.530727e+00,40277.776577880366,1.197204e-03,1.396291e+00
2.548181e+00,40555.55434738299,2.304143e-03,1.221745e+00
2.565634e+00,40833.332116885606,3.293846e-03,1.047208e+00
2.583087e+00,41111.109886388236,4.143301e-03,8.726725e-01
2.600541e+00,41388.88765589086,4.834390e-03,6.981384e-01
2.617994e+00,41666.66542539348,5.354130e-03,5.236048e-01
2.635447e+00,41944.44319489611,5.694786e-03,3.490714e-01
2.652900e+00,42222.22096439872,5.853841e-03,1.745382e-01
2.670354e+00,42499.99873390135,5.833831e-03,5.078558e-06
2.687807e+00,42777.77650340397,5.642072e-03,-1.745279e-01
2.705260e+00,43055.55427290659,5.290267e-03,-3.490609e-01
2.722714e+00,43333.33204240922,4.794036e-03,-5.235938e-01
2.740167e+00,43611.10981191185,4.172352e-03,-6.981267e-01
2.757620e+00,43888.88758141447,3.446930e-03,-8.726596e-01
2.775073e+00,44166.66535091709,2.641562e-03,-1.047192e+00
2.792527e+00,44444.44312041971,1.781437e-03,-1.221725e+00
2.809980e+00,44722.220889922326,8.924442e-04,-1.396259e+00
2.827433e+00,44999.99865942496,4.832352e-07,-1.572811e+00
2.844887e+00,45277.77642892758,8.691960e-04,1.396271e+00
2.862340e+00,45555.55419843021,1.692622e-03,1.221738e+00
2.879793e+00,45833.33196793283,2.447677e-03,1.047205e+00
2.897246e+00,46111.10973743546,3.114611e-03,8.726724e-01
2.914700e+00,46388.887506938074,3.676487e-03,6.981399e-01
